query,model,rank,score,doc_id,doc_title,doc_language
bangladesh cricket team,Fuzzy,1,0.65,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
bangladesh cricket team,Fuzzy,2,0.65,N/A,Regional identity and the untapped power of foods,english
bangladesh cricket team,Fuzzy,3,0.65,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
bangladesh cricket team,Fuzzy,4,0.61,N/A,Bangladesh-India ties: A tragicomedy where populists take centre stage,english
bangladesh cricket team,Fuzzy,5,0.61,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
bangladesh cricket team,Fuzzy,6,0.48,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
bangladesh cricket team,Fuzzy,7,0.43,N/A,Minimalism took over but was it worth losing colour?,english
bangladesh cricket team,Fuzzy,8,0.43,N/A,"Revisiting Humayun Azad s classic, Koto Nodi Shorobor",english
bangladesh cricket team,Fuzzy,9,0.43,N/A,Milestone jet crash: Last remaining patient to return home tomorrow,english
bangladesh cricket team,Fuzzy,10,0.43,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
bangladesh cricket team,Semantic,1,0.6464216113090515,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
bangladesh cricket team,Semantic,2,0.620317280292511,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
bangladesh cricket team,Semantic,3,0.611785888671875,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
bangladesh cricket team,Semantic,4,0.6115556359291077,N/A,Bangladesh-India ties: A tragicomedy where populists take centre stage,english
bangladesh cricket team,Semantic,5,0.6076570749282837,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
bangladesh cricket team,Semantic,6,0.6069985032081604,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
bangladesh cricket team,Semantic,7,0.5977064371109009,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
bangladesh cricket team,Semantic,8,0.5960475206375122,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
bangladesh cricket team,Semantic,9,0.5783032774925232,N/A,Regional identity and the untapped power of foods,english
bangladesh cricket team,Semantic,10,0.5747675895690918,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
education system,BM25,1,1.0,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
education system,BM25,2,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
education system,BM25,3,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
education system,BM25,4,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
education system,BM25,5,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
education system,BM25,6,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
education system,BM25,7,0.0,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
education system,BM25,8,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
education system,BM25,9,0.0,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
education system,BM25,10,0.0,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
education system,TF-IDF,1,0.04362211390776109,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
education system,TF-IDF,2,0.010879400545400689,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
education system,TF-IDF,3,0.00988600714542924,N/A,Regional identity and the untapped power of foods,english
education system,TF-IDF,4,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
education system,TF-IDF,5,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
education system,TF-IDF,6,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
education system,TF-IDF,7,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
education system,TF-IDF,8,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
education system,TF-IDF,9,0.0,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
education system,TF-IDF,10,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
education system,Fuzzy,1,0.56,N/A,"Revisiting Humayun Azad s classic, Koto Nodi Shorobor",english
education system,Fuzzy,2,0.56,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
education system,Fuzzy,3,0.5,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
education system,Fuzzy,4,0.44,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
education system,Fuzzy,5,0.44,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
education system,Fuzzy,6,0.44,N/A,Regional identity and the untapped power of foods,english
education system,Fuzzy,7,0.44,N/A,Bangladesh-India ties: A tragicomedy where populists take centre stage,english
education system,Fuzzy,8,0.44,N/A,Milestone jet crash: Last remaining patient to return home tomorrow,english
education system,Fuzzy,9,0.38,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
education system,Fuzzy,10,0.38,N/A,Minimalism took over but was it worth losing colour?,english
education system,Semantic,1,0.6236059665679932,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
education system,Semantic,2,0.5989784598350525,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
education system,Semantic,3,0.5968602299690247,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
education system,Semantic,4,0.5835229158401489,N/A,Minimalism took over but was it worth losing colour?,english
education system,Semantic,5,0.5826622843742371,N/A,Milestone jet crash: Last remaining patient to return home tomorrow,english
education system,Semantic,6,0.5717387199401855,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
education system,Semantic,7,0.565582811832428,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
education system,Semantic,8,0.5652936100959778,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
education system,Semantic,9,0.5637274980545044,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
education system,Semantic,10,0.5609698295593262,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
economic growth,BM25,1,1.0,N/A,Regional identity and the untapped power of foods,english
economic growth,BM25,2,0.9808498307277317,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
economic growth,BM25,3,0.941204002582311,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
economic growth,BM25,4,0.4466083360456433,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
economic growth,BM25,5,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
economic growth,BM25,6,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
economic growth,BM25,7,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
economic growth,BM25,8,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
economic growth,BM25,9,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
economic growth,BM25,10,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
economic growth,TF-IDF,1,0.016695205048279576,N/A,Regional identity and the untapped power of foods,english
economic growth,TF-IDF,2,0.016197790104320403,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
economic growth,TF-IDF,3,0.015243672868996938,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
economic growth,TF-IDF,4,0.015168198462944251,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
economic growth,TF-IDF,5,0.0049092822530662295,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
economic growth,TF-IDF,6,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
economic growth,TF-IDF,7,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
economic growth,TF-IDF,8,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
economic growth,TF-IDF,9,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
economic growth,TF-IDF,10,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
economic growth,Fuzzy,1,0.47,N/A,Milestone jet crash: Last remaining patient to return home tomorrow,english
economic growth,Fuzzy,2,0.47,N/A,Regional identity and the untapped power of foods,english
economic growth,Fuzzy,3,0.47,N/A,"Before the Assam Bengal line system: Mobility, land, and belonging",english
economic growth,Fuzzy,4,0.47,N/A,"Revisiting Humayun Azad s classic, Koto Nodi Shorobor",english
economic growth,Fuzzy,5,0.47,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
economic growth,Fuzzy,6,0.47,N/A,Bangladesh-India ties: A tragicomedy where populists take centre stage,english
economic growth,Fuzzy,7,0.4,N/A,Minimalism took over but was it worth losing colour?,english
economic growth,Fuzzy,8,0.4,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
economic growth,Fuzzy,9,0.4,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
economic growth,Fuzzy,10,0.4,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
economic growth,Semantic,1,0.5838965773582458,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
economic growth,Semantic,2,0.5778381824493408,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
economic growth,Semantic,3,0.5607411861419678,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
economic growth,Semantic,4,0.5572386980056763,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
economic growth,Semantic,5,0.5526054501533508,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
economic growth,Semantic,6,0.5423131585121155,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
economic growth,Semantic,7,0.5408363938331604,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
economic growth,Semantic,8,0.5358917117118835,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
economic growth,Semantic,9,0.5278835892677307,N/A,Leather and footwear: The next big export frontier for Bangladesh,english
economic growth,Semantic,10,0.5271849632263184,N/A,Shipbuilding industry defaulters to get special rescheduling facility,english
শিক্ষা ব্যবস্থা,BM25,1,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
শিক্ষা ব্যবস্থা,BM25,2,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
শিক্ষা ব্যবস্থা,BM25,3,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
শিক্ষা ব্যবস্থা,BM25,4,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
শিক্ষা ব্যবস্থা,BM25,5,0.0,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
শিক্ষা ব্যবস্থা,BM25,6,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
শিক্ষা ব্যবস্থা,BM25,7,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
শিক্ষা ব্যবস্থা,BM25,8,0.0,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
শিক্ষা ব্যবস্থা,BM25,9,0.0,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
শিক্ষা ব্যবস্থা,BM25,10,0.0,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
শিক্ষা ব্যবস্থা,TF-IDF,1,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
শিক্ষা ব্যবস্থা,TF-IDF,2,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
শিক্ষা ব্যবস্থা,TF-IDF,3,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
শিক্ষা ব্যবস্থা,TF-IDF,4,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
শিক্ষা ব্যবস্থা,TF-IDF,5,0.0,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
শিক্ষা ব্যবস্থা,TF-IDF,6,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
শিক্ষা ব্যবস্থা,TF-IDF,7,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
শিক্ষা ব্যবস্থা,TF-IDF,8,0.0,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
শিক্ষা ব্যবস্থা,TF-IDF,9,0.0,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
শিক্ষা ব্যবস্থা,TF-IDF,10,0.0,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
শিক্ষা ব্যবস্থা,Fuzzy,1,0.53,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
শিক্ষা ব্যবস্থা,Fuzzy,2,0.47,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
শিক্ষা ব্যবস্থা,Fuzzy,3,0.47,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
শিক্ষা ব্যবস্থা,Fuzzy,4,0.47,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
শিক্ষা ব্যবস্থা,Fuzzy,5,0.4,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
শিক্ষা ব্যবস্থা,Fuzzy,6,0.4,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
শিক্ষা ব্যবস্থা,Fuzzy,7,0.33,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
শিক্ষা ব্যবস্থা,Fuzzy,8,0.33,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
শিক্ষা ব্যবস্থা,Fuzzy,9,0.33,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
শিক্ষা ব্যবস্থা,Fuzzy,10,0.07,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
শিক্ষা ব্যবস্থা,Semantic,1,0.6325092315673828,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
শিক্ষা ব্যবস্থা,Semantic,2,0.5956881046295166,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
শিক্ষা ব্যবস্থা,Semantic,3,0.5878187417984009,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
শিক্ষা ব্যবস্থা,Semantic,4,0.5847370624542236,N/A,Milestone jet crash: Last remaining patient to return home tomorrow,english
শিক্ষা ব্যবস্থা,Semantic,5,0.5823014378547668,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
শিক্ষা ব্যবস্থা,Semantic,6,0.573316752910614,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
শিক্ষা ব্যবস্থা,Semantic,7,0.5725483298301697,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
শিক্ষা ব্যবস্থা,Semantic,8,0.5701507329940796,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
শিক্ষা ব্যবস্থা,Semantic,9,0.5697544813156128,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
শিক্ষা ব্যবস্থা,Semantic,10,0.5627895593643188,N/A,Minimalism took over but was it worth losing colour?,english
ক্রিকেট খেলা,BM25,1,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
ক্রিকেট খেলা,BM25,2,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
ক্রিকেট খেলা,BM25,3,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
ক্রিকেট খেলা,BM25,4,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
ক্রিকেট খেলা,BM25,5,0.0,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
ক্রিকেট খেলা,BM25,6,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
ক্রিকেট খেলা,BM25,7,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
ক্রিকেট খেলা,BM25,8,0.0,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
ক্রিকেট খেলা,BM25,9,0.0,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
ক্রিকেট খেলা,BM25,10,0.0,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
ক্রিকেট খেলা,TF-IDF,1,0.0,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
ক্রিকেট খেলা,TF-IDF,2,0.0,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
ক্রিকেট খেলা,TF-IDF,3,0.0,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
ক্রিকেট খেলা,TF-IDF,4,0.0,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
ক্রিকেট খেলা,TF-IDF,5,0.0,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
ক্রিকেট খেলা,TF-IDF,6,0.0,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
ক্রিকেট খেলা,TF-IDF,7,0.0,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
ক্রিকেট খেলা,TF-IDF,8,0.0,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
ক্রিকেট খেলা,TF-IDF,9,0.0,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
ক্রিকেট খেলা,TF-IDF,10,0.0,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
ক্রিকেট খেলা,Fuzzy,1,0.5,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
ক্রিকেট খেলা,Fuzzy,2,0.5,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
ক্রিকেট খেলা,Fuzzy,3,0.5,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
ক্রিকেট খেলা,Fuzzy,4,0.42,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
ক্রিকেট খেলা,Fuzzy,5,0.42,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
ক্রিকেট খেলা,Fuzzy,6,0.42,N/A,দলীয় কার্যালয়ে অবরুদ্ধ জামায়াত নেতা মনোনয়নপত্র প্রত্যাহার করতে পারেননি,bangla
ক্রিকেট খেলা,Fuzzy,7,0.42,N/A,নির্দেশিকার নামে বাড়িভাড়া বাড়ানোর আয়োজন,bangla
ক্রিকেট খেলা,Fuzzy,8,0.33,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
ক্রিকেট খেলা,Fuzzy,9,0.33,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
ক্রিকেট খেলা,Fuzzy,10,0.08,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
ক্রিকেট খেলা,Semantic,1,0.6386960744857788,N/A,বিপিএল: চট্টগ্রামকে ফাইনালে তুললেন অধিনায়ক মেহেদী,bangla
ক্রিকেট খেলা,Semantic,2,0.6318650841712952,N/A,পোস্টাল ব্যালটে ভোট গ্রহণ সফল হলে দেশের নাম ইতিহাসে লেখা হবে: সিইসি,bangla
ক্রিকেট খেলা,Semantic,3,0.6158277988433838,N/A,তেল ছাড়া পরোটা য় মোশাররফ করিম,bangla
ক্রিকেট খেলা,Semantic,4,0.6081482172012329,N/A,কাতার বন্ধুসভার নতুন কার্যনির্বাহী কমিটির অভিষেক,bangla
ক্রিকেট খেলা,Semantic,5,0.6061599850654602,N/A,"Up to Tk 10,000 fine for honking near Dhaka airport, Gulshan, Banani from Jan 25",english
ক্রিকেট খেলা,Semantic,6,0.5776425004005432,N/A,জাদু দেখানো শুরু হয়েছিল কবে,bangla
ক্রিকেট খেলা,Semantic,7,0.5764817595481873,N/A,Minimalism took over but was it worth losing colour?,english
ক্রিকেট খেলা,Semantic,8,0.5757232904434204,N/A,সিলেট সফরে শ্বশুরবাড়িতেও যাবেন তারেক রহমান,bangla
ক্রিকেট খেলা,Semantic,9,0.5688096284866333,N/A,Prachyanat School stages Mamunur Rashid s Guinea Pig today,english
ক্রিকেট খেলা,Semantic,10,0.5492371320724487,N/A,বন্ধুদের নিয়ে নতুম উদ্যমে এগিয়ে যাওয়ার প্রত্যয়,bangla
